#{"t_start": 1783350907.7420318, "env_id": "CartPole-v1"}
r,l,t
9.0,9,3.238201
9.0,9,3.240804
10.0,10,3.242334
10.0,10,3.244209
9.0,9,3.245723
9.0,9,3.248421
10.0,10,3.250526
9.0,9,3.251979
10.0,10,3.254008
10.0,10,3.256764
12.0,12,3.258844
11.0,11,3.260857
9.0,9,3.262346
10.0,10,3.265507
8.0,8,3.266898
10.0,10,3.268483
10.0,10,3.270449
12.0,12,3.273647
8.0,8,3.275051
9.0,9,3.276533
10.0,10,3.278143
9.0,9,3.281162
9.0,9,3.282828
9.0,9,3.284355
10.0,10,3.286311
8.0,8,3.288914
9.0,9,3.290417
9.0,9,3.291918
9.0,9,3.2934
10.0,10,3.296522
10.0,10,3.298084
9.0,9,3.301004
10.0,10,3.302548
9.0,9,3.305284
8.0,8,3.306689
9.0,9,3.308647
9.0,9,3.310102
9.0,9,3.312769
11.0,11,3.31472
9.0,9,3.316369
9.0,9,3.31791
9.0,9,3.321045
9.0,9,3.322506
9.0,9,3.323989
9.0,9,3.325437
10.0,10,3.329152
9.0,9,3.33069
9.0,9,3.332382
10.0,10,3.334379
13.0,13,3.337907
9.0,9,3.339381
10.0,10,3.341368
8.0,8,3.342826
9.0,9,3.345519
10.0,10,3.347438
9.0,9,3.349059
9.0,9,3.350617
10.0,10,3.353869
10.0,10,3.35544
10.0,10,3.357363
10.0,10,3.358877
10.0,10,3.362026
9.0,9,3.363551
9.0,9,3.365104
9.0,9,3.366725
11.0,11,3.369997
11.0,11,3.371974
10.0,10,3.373613
10.0,10,3.375611
10.0,10,3.378268
9.0,9,3.380119
12.0,12,3.382453
10.0,10,3.383945
10.0,10,3.387071
11.0,11,3.38866
10.0,10,3.390562
